question,answer,similar_questions
The customer is not receiving OTP while attaching the license. What should be done?,"
**Answer:**
Follow these steps:
- Confirm the **correct registered mobile number or email**
- Wait a few minutes and tap **Resend OTP**
- Check **Spam/Junk folder** (for email OTP)
- Restart the app and try again
- Ensure **stable internet connection**

If OTP is still not received:  
➡️ **Escalate the case to a senior agent**
","- OTP nahi aa raha
- License attach nahi ho raha
- Login OTP problem aa rahi hai
"
How can I set a password for login while attaching a license?,"**Answer:**
- Visit **vyaparapp.in**
- Log in with the license-registered mobile number/email
- Go to **My Account**
- Click **Set Password**
- Create a password of your choice
","- Password kaise set karein?
- OTP ke bajay password se login chahiye
"
Can I download the GST invoice for a Vyapar license from the app?,"**Answer:**
No. GST invoices **cannot be downloaded from the app**.

To download:
- Visit **vyaparapp.in**
- Login with registered mobile/email
- Go to **My Account → My Invoice**
- Download the GST invoice
","- App se GST invoice download ho sakta hai?
- License ka GST bill kaha milega?
"
"I gave two referrals two days ago, but my license validity has not increased. Why?","**Answer:**
Referral validation is handled from the backend.

➡️ **Escalate the case to a senior agent** to verify referral status and update the license validity.
","- Referral ka benefit add nahi hua
- License validity extend nahi hui
"
"Can I make part payments, pay monthly/EMI, and how do I see the final price?","**Answer:**
Vyapar supports **auto-pay–based payments** for license purchases.

#### **Auto-pay details**
- Auto-pay works in **3-month billing cycles**
- Payments continue **automatically** unless the user cancels manually
- **UPI is the only supported payment method** for auto-pay
- Auto-pay is currently in an **experimental phase**
- Auto-pay cannot be accessed from the **Utilities** section

#### **Plan validity rules**
- Plan validity follows a **date-to-date cycle**
  - Example: Purchased on **01-01-2026 → Expires on 01-03-2026**
- Users can **upgrade their plan at any time**
  - Remaining validity value is adjusted automatically

#### **If auto-pay fails**
- System retries payment **up to 3 times after 92 days**
- During retries, a **pop-up** appears on the **Plans & Pricing** page showing remaining validity
- If all retries fail, the **license is automatically cancelled**

#### **Refund**
- If payment is **accidentally deducted multiple times**, a **refund is issued**

---

","- Monthly ya EMI payment possible hai kya?
- Auto-pay kaise kaam karta hai?
- Final payable amount kaha dikhega?
- Part payment allowed hai kya?
"
What features are not available in the Vyapar iOS app compared to the Android app?,"**Answer:**
Some features available in the **Vyapar Android app** are **not available in the iOS app**.

#### **Features not available on iOS**
- Payment link to invoice  
- Additional transportation field  
- Buy or renew license  
- Convert Sales Order / Estimate / Delivery Challan to Sales Invoice  
- App language support (Hindi, English)  
- Customizable messages and bulk messaging  
- Vyapar themes (Standard, Trending, Modern)  
- Live party statement link  
- Invite parties to add themselves  
- Purchase ageing report  
- Fingerprint lock  
- Import from My Bill Book  
- GST transaction report  
- E-sign  
- Vaani  
- Visiting card  
- E-invoicing  

**Note:**  
For more clarification, ➡️ **escalate to a senior agent**.
","- iOS app me kaun-kaun se features nahi milte?
- Android aur iOS app me kya difference hai?
"
"Are WhatsApp Marketing, Marketing Tools, Bulk WhatsApp Messaging, and Greetings & Offers available in Silver or Gold plans?","**Answer:**
No.

These features are **not available** in **Silver or Gold** plans.  
They are available **only in plans above Gold**, such as:
- Retail Pro  
- Distributor Pro  
- Manufacturing Pro  
- Vyapar Platinum  
","- Gold ya Silver plan me WhatsApp marketing milega kya?
- Bulk WhatsApp messaging kaunsa plan support karta hai?
"
Payment is done but the license is still not generated. What should I do?,"**Answer:**
- Ensure you are checking with the **same license-registered mobile number or email** used at purchase
- License generation usually takes **up to 30 minutes**

To check:
- Visit **vyaparapp.in**
- Login with your **license-registered mobile/email**
- Go to **My Account → Already Have a License**

If the license is still not visible after 30 minutes:  
➡️ **Escalate the case to a senior agent**
","- Payment ho gaya par license nahi mila
- License abhi tak generate nahi hua
"
"I purchased a Vyapar license, but some features are still locked. Why?","**Answer:**
Vyapar has **multiple license plans**.  
The plan you purchased **may not include that feature**, which is why it appears locked.

To check your features:
- Go to **Menu → Plans & Pricing**
- View your **current license details and included features**

If the user wants to upgrade the plan:  
➡️ **Escalate the case to a senior agent**
","- License lene ke baad bhi feature locked hai
- Sab features available kyu nahi hain?
"
License validity is incorrect compared to what I paid for. What should I do?,"**Answer:**
Check the following in **License Details**:
- Start date  
- Expiry date  
- Duration  
- Trial or grace period (if any)

**Important:**  
License validity starts from the **date the license is activated on the device**.

If the user still feels the validity is incorrect:  
➡️ **Escalate the case to a senior agent**
","- License expiry galat dikh rahi hai
- Validity kam kyu aa rahi hai?
"
"Support shared a payment link, payment is done, but license is not showing.","**Answer:**
- License generation normally takes **up to 30 minutes**
- It should be generated automatically

If not generated after 30 minutes:  
➡️ **Escalate the case to a senior agent**
",- Payment link se pay kiya par license nahi mila
"Support said the license is generated, but I can’t see it.","**Answer:**
- Confirm you are logged in with the **same mobile number or email** used during purchase

To verify:
- Visit **vyaparapp.in**
- Login with your **license-registered mobile/email**
- Go to **My Account → Already Have a License**
- View all purchased licenses

If still not visible:  
➡️ **Escalate the case to a senior agent**
","- License generate ho gaya bola gaya, par dikh nahi raha"
How long does it take to generate a license after payment?,"**Answer:**
- License generation usually takes **up to 30 minutes**
- If not generated within this time:  
➡️ **Escalate the case to a senior agent**","
"
Why is license generation taking so long?,"**Answer:**
Possible reasons include:
- Background queue delays  
- Temporary service disruptions  
- Entitlement mapping delays  
- Ownership-binding retries  

Ensure you are checking with the **correct registered mobile/email**.

If the delay continues:  
➡️ **Escalate the case to a senior agent**
",
I already paid. Why am I still waiting for the license?,"**Answer:**
Payment confirms the purchase, but **license issuance** involves:
- Creating the license record
- Assigning entitlements
- Setting validity dates
- Binding ownership

This is usually quick, but delays can occur due to system load.

- You **do not need to pay again**
- If the license is not generated after **30 minutes**:  
➡️ **Escalate the case to a senior agent**
",
"**I have two laptops. On one laptop I am getting a discounted renewal price, but on another laptop (where an IndiaMART license is attached) I am seeing the new license price. Why is this happening?**","This happens because **IndiaMART-provided Vyapar licenses are free promotional licenses**, not paid licenses.

#### **Reason**
- IndiaMART users receive **up to 6 months of Vyapar license free** as part of a promotional offer
- **Renewal discounts are applicable only on paid Vyapar licenses**
- Since the IndiaMART license is **free**, it is treated as a **new purchase** at the time of renewal
- That is why:
  - On the device with a **paid license** → **discounted renewal price** is shown
  - On the device with an **IndiaMART free license** → **new license price** is shown

#### **Important Note**
- Renewal discounts (such as 10%) apply **only to paid licenses**
- Free or promotional licenses (like IndiaMART) **do not qualify** for renewal discounts

#### **What you can do**
- If you want renewal benefits and discounts:
  - Purchase a **paid Vyapar license**
- Once a paid license is active, future renewals will show **discounted renewal pricing**

#### **Next Step**
👉 If the user is confused about license type or wants confirmation of which license is attached on which device, **escalate the case to a senior agent** for verification.


","- Mere ek laptop me renewal discount aa raha hai, dusre me full price kyu aa raha hai?
- IndiaMART license wale laptop me renewal discount kyu nahi mil raha?
- Kya IndiaMART free license par renewal offer lagta hai?
- Dono device par alag-alag price kyu dikh rahi hai?
- IndiaMART plan ka renewal kaise hota hai?
"
